Region,Ship Mode,Average_Lead_Time,Average_Profit,Number_of_Orders
Interior,Same Day,1397.2333333333333,7.915166666666667,120
Interior,First Class,1352.4356435643565,9.093993399339935,303
Pacific,Same Day,1344.4378378378378,8.57718918918919,185
Pacific,First Class,1340.9359223300971,9.266621359223302,515
Atlantic,First Class,1335.5685483870968,9.166028225806452,496
Atlantic,Second Class,1329.8558394160584,9.181788321167883,548
Pacific,Second Class,1327.5431711145998,9.063218210361068,637
Gulf,Second Class,1324.7173252279636,9.287902735562309,329
Gulf,First Class,1319.8247863247864,8.277564102564103,234
Atlantic,Standard Class,1319.3039820527201,8.961486259113853,1783
Interior,Standard Class,1314.6579129232896,9.074830684174154,1447
Pacific,Standard Class,1313.231732776618,9.579112734864301,1916
Interior,Second Class,1311.079569892473,9.561096774193548,465
Gulf,Standard Class,1306.9271047227926,9.200482546201233,974
Atlantic,Same Day,1296.8238993710693,8.914465408805032,159
Gulf,Same Day,1286.855421686747,8.996746987951807,83
